Variable,Energy Production,Coal,Natural Gas,Petroleum,Nuclear,Renewables and Other,RISE Renewable Energy,RISE Energy Efficiency,Carbon Offests Projects,Ecosystem Vitality,Waste Management,Climate Change
Albania,0.091399758,0.001135556,0.002749278,0.041423179,0,0.046091746,51,49,1,45.5,13.4,52.5
Angola,3.526638469,0,0.250232581,3.177631628,0,0.09877426,42,4,3,28.6,9.6,37.7
Argentina,3.43406163,0.000492729,1.61358324,1.304008846,0.093123237,0.422853578,55,31,20,38.9,42.4,35.5
Armenia,0.045262562,0,0,0,0.023790025,0.021472537,62,44,0,58.1,37.5,41.4
Australia,18.92253191,12.16039616,5.399933383,0.878312784,0,0.483889582,84,75,8,62.3,69,43.8
Austria,0.56410935,0,0.033483292,0.027553737,0,0.503072321,81,84,1,73.9,77.4,50.3
Bangladesh,1.060012798,0.019548666,1.008007376,0.022603373,0,0.009853383,37,41,78,29.4,10.5,18.8
Belgium,0.629181031,0,0.000142556,0.073064474,0.427685659,0.201352817,84,78,0,57.9,68,48.1
Benin,7.18E-05,0,0,0,0,7.18E-05,38,27,7,36.2,29.7,26.2
Bolivia,0.719156588,0,0.565678339,0.117661965,0,0.035816284,50,26,14,52.9,50,28.3
Bosnia and Herzegovina,0.153094878,0.096884826,0,0,0,0.056210052,54,48,1,34.8,30.9,45.1
Brazil,12.75248874,0.091082761,0.848213625,6.173854598,0.157023684,5.482314068,78,69,194,55.2,38.7,29.6
Bulgaria,0.43443392,0.195414221,0.00138468,0.002145788,0.172931182,0.062558049,80,69,4,58,58.8,49.8
Burkina Faso,0.00190567,0,0,0,0,0.00190567,33,28,58,49.6,16.7,27.6
Cambodia,0.037884542,0,0,0,0,0.037884542,39,43,21,37.5,13.7,23.3
Cameroon,0.285475806,0,0.087479904,0.150265102,0,0.0477308,34,26,9,33,15.4,35.4
Canada,23.45886067,1.160431594,6.647772666,10.74436607,1.079465145,3.826825198,84,79,23,52.5,59.5,28.2
Chile,0.439011469,0.026220411,0.056462029,0.019962209,0,0.33636682,88,74,33,51.2,46.4,35.8
China,123.8392488,87.63471318,6.362312406,8.215247633,3.5684974,18.05847822,72,72,1105,24.5,28.6,30.4
Colombia,5.064343477,2.214683289,0.376452057,1.952187219,0,0.52102091,72,56,81,49.6,60.3,30.2
Costa Rica,0.100926866,0,0,0,0,0.100926866,67,63,6,46.4,52.5,41.5
Croatia,0.141600113,0,0.036886003,0.030182016,0,0.074532094,66,66,0,65.6,55.3,56.6
Czech Republic,0.997313234,0.561804853,0.007645061,0.003684906,0.323261038,0.100917377,72,77,0,64.5,74.9,52.8
Denmark,0.545530959,0,0.121205251,0.211496706,0,0.212829002,94,83,0,61.3,68.3,92.4
Dominican Republic,0.020672824,0,0,0,0,0.020672824,61,30,7,51.8,18.2,36.5
"Congo, Dem. Rep",0.15013953,0,1.40E-05,0.051498907,0,0.09862666,40,16,28,46.1,4.1,35.1
Ecuador,1.407590638,0,0.012768994,1.167918908,0,0.226902735,59,59,5,49.2,38.5,43.2
Egypt,4.170749022,0,2.465370834,1.517402543,0,0.187975645,85,42,9,43.7,19.8,28.5
El Salvador,0.03784625,0,0,0,0,0.03784625,63,41,9,33,52.1,50.2
Ethiopia,0.126621086,0,0,0,0,0.126621086,42,35,61,45.6,5,19.9
Finland,0.537040271,0,0,0,0.233922437,0.303117833,82,76,0,62,69.6,83.6
France,5.104586709,0,0.000652027,0.031185724,3.939839244,1.132909713,88,69,0,64,63.8,49.5
Georgia,0.080794531,0.000259502,0.000299651,0.000734388,0,0.07950099,28,25,3,35.7,43.1,43.6
Germany,4.478007118,1.179502071,0.191815374,0.081568276,0.709423057,2.315698339,92,83,43,66.8,69,47.2
Ghana,0.553936483,0,0.055396623,0.433332108,0,0.06520775,76,42,23,34.7,13.6,23.8
Greece,0.291744463,0.133967887,0.000584569,0.007245244,0,0.14994676,83,65,1,53.9,59.9,50.8
Guatemala,0.092653777,0,0,0.01915252,0,0.07350126,52,13,19,29,20.6,26.7
Honduras,0.057134311,0,0,0,0,0.05713431,47,21,40,40.9,28.4,35
Hungary,0.369177294,0.045386885,0.058079258,0.048293236,0.15502113,0.062396784,81,85,0,65,43.4,48.1
India,18.32218117,12.33618563,1.158082062,1.618733949,0.45678104,2.752398487,88,85,1360,19.3,12.9,21.7
Indonesia,17.05161836,12.17761271,2.582178032,1.594375417,0,0.6974522,53,32,47,34.1,29.5,23.2
Ireland,0.201538061,0,0.095003461,0,0,0.1065346,88,80,0,50.9,67.9,48.2
Israel,0.400013275,0,0.374017799,0,0,0.02599548,77,85,2,42.5,62.7,39.9
Italy,1.250937411,0,0.173440992,0.174545293,0,0.90295113,82,80,3,57.2,60.6,48.2
Jamaica,0.004819493,0,0,0,0,0.00481949,56,51,0,39.8,28,54.1
Japan,2.445807666,0.019615618,0.102632016,0.01911139,0.64268449,1.661764152,78,68,0,59.6,52.8,41.2
Jordan,0.029803339,0,0.003428768,4.78E-05,0,0.02632674,72,68,1,40.3,40,42.8
Kazakhstan,8.02919548,2.840559333,0.935362896,4.150441347,0,0.1028319,56,42,4,48.1,27.7,34.9
Kenya,0.091216587,0,0,0,0,0.09121659,65,58,196,34.6,13.3,29
Kyrgyzstan,0.164853857,0.040109397,0.000944792,0.001751656,0,0.122048012,34,28,0,40.4,7.2,34
Lao PDR,0.498731812,0.322172377,0,0,0,0.17655944,32,14,24,46.9,16.7,16.2
Lebanon,0.009929217,0,0,0,0,0.009929217,64,43,0,20.4,44.4,37.9
Madagascar,0.008311989,0,0,0,0,0.00831199,19,7,97,29.5,11.2,28.4
Malaysia,4.416863761,0.075927005,2.673973019,1.349821352,0,0.317142385,49,63,14,36,33.8,27.2
Mali,0.00929682,0,0,0,0,0.00929682,38,22,9,38.4,4.5,21.9
Mexico,5.785129564,0.207907905,0.985764215,3.994545991,0.109517266,0.487394186,91,64,206,53.7,43.5,38.9
Moldova,0.003341568,0,2.28E-06,0,0,0.00333929,64,65,0,42.9,17.7,42.9
Montenegro,0.028684279,0.014749904,0,0,0,0.013934375,46,57,0,44.7,15.5,52.3
Morocco,0.071747687,0,0.003862704,0.000146598,0,0.067738385,67,54,11,27.2,30.8,29.5
Mozambique,0.622907674,0.276770371,0.212227306,0,0,0.13391,59,14,55,44.5,9.8,19.3
Netherlands,1.420527828,0,1.051475243,0.045587612,0.035969859,0.287495113,82,80,5,60,66.2,54.5
New Zealand,0.598922897,0.072253998,0.17171114,0.031803839,0,0.323153919,65,56,6,57.9,60.9,40.4
Nigeria,6.04499417,0.001405776,1.711803516,4.256163163,0,0.07562171,65,32,53,33.3,12.7,29.6
North Macedonia,0.044963711,0.033100763,0,0,0,0.011862947,44,53,1,48.7,42.1,69.9
Norway,8.869509007,0.003392844,4.285476752,3.423179897,0,1.15745951,88,68,0,57.6,70.7,43.9
Pakistan,1.856313423,0.134293084,1.045685766,0.207916544,0.095718828,0.3726992,42,36,14,37.8,15.8,16.9
Panama,0.055284912,0,0,0,0,0.055284912,58,54,5,57.5,38.6,43.5
Paraguay,0.448623673,0,0,0,0,0.448623673,24,28,12,48.9,41,30.1
Peru,1.161467164,0.018446449,0.573763165,0.258936973,0,0.31032058,55,39,49,45.2,27.7,32.2
Philippines,0.679396923,0.33672685,0.129266371,0.002154098,0,0.2112496,54,55,13,38.6,23.4,16.9
Poland,2.351889651,1.892920737,0.153431927,0.043043083,0,0.2624939,54,55,0,60,63.7,38.8
Portugal,0.257963024,0,0,0,0,0.257963024,83,84,0,49.6,62.5,37.6
Romania,1.030742315,0.166642019,0.359248679,0.152503976,0.123421098,0.228926542,75,81,4,65.4,45.6,51.3
Rwanda,0.006231251,0,0.002127195,0,0,0.00410406,91,55,182,37.7,4.5,32.6
Senegal,0.008512402,0,0.001904892,0,0,0.00660751,60,39,19,40.2,11.2,33.6
Serbia,0.449987407,0.304238876,0.015999452,0.03613141,0,0.09361767,57,55,1,47,40.3,41.7
Singapore,0.057277535,0,0,0,0,0.057277535,65,78,5,42.5,71.7,46.5
Slovak Republic,0.24611102,0.014967112,0.002555729,0.000472133,0.16943361,0.058682436,82,81,0,66.3,62.2,53.5
South Africa,5.923568392,5.62354432,0.045461725,0.006285448,0.136506105,0.111770795,85,74,72,44.2,39.2,34.1
South Korea,1.632637915,0.028929539,0.009490267,0,1.34296941,0.251248699,87,87,12,48.8,72,30.9
Spain,1.531794728,0,0.005121421,0.001719639,0.555515397,0.969438271,81,83,3,60.3,61.4,41.3
Sri Lanka,0.050178277,0,0,0,0,0.050178277,44,42,16,40.1,19.1,26.4
Sweden,1.553401215,0,0,0,0.647007037,0.906394178,73,64,0,60.6,70.8,75.4
Switzerland,0.623363085,0,0,0,0.26121824,0.362144845,87,73,6,60.2,76.4,60.5
Tanzania,0.093161499,0.01833087,0.050979477,0,0,0.023851152,50,17,34,45.2,10.4,25.3
Thailand,2.764637189,0.149136556,1.353541295,0.867691662,0,0.394267676,45,67,83,37.3,28.5,36
Tunisia,0.126051415,0,0.042114178,0.076716172,0,0.007221065,77,66,1,32.7,26.2,48.3
Turkey,2.090484229,0.772638726,0.01703113,0.125444723,0,1.17536965,78,57,500,20.3,40.6,21.5
Uganda,0.03790511,0,0,0,0,0.03790511,66,30,208,49.2,13.2,26.8
United Kingdom,5.467060318,0.071230299,1.494411351,2.311220751,0.460870806,1.129327111,92,82,5,62.3,62.6,91.5
Uruguay,0.14205812,0,0,0,0,0.14205812,68,76,19,25.8,38.5,37
United States,101.4907241,14.25576303,35.18718338,31.96421001,8.451851513,11.63171622,63,84,1309,51.4,54.3,37.2
Venezuela,3.221124724,0.012013545,0.737774962,2.028457084,0,0.44287913,19,51,0,52,12.1,42.1
Viet Nam,2.718979521,1.202315563,0.35486619,0.504520903,0,0.657276865,84,69,0,22.1,25.6,10.1
Zambia,0.136101052,0.024538215,0,0,0,0.11156284,59,37,52,58.2,6.9,25.6
